smiles,label,Pa
CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)Nc2ccc(C)cc2)c1,0,5.517126416
CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCc2ccccc2)c(C(=O)OC)c1,0,5.391473966
CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)NCc2ccc(OC)cc2)c1,0,6.214670165
Nc1ccccc1C(=O)c1cn(-c2ccccc2)nn1,1,6.366531544
N#Cc1cc(-c2ccc(O)cc2)nc2ccc(O)cc12,1,7.552841969
COc1ccc(Cn2ncc3cc(/C=C4\SC(=O)N(CCN5CCCC5)C4=O)ccc32)c(C(F)(F)F)c1,1,7.337242168
O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(C(F)(F)F)cc3C(F)(F)F)c2)C(=O)N1CCN1CCCC1,0,6.236572006
Cc1nn(Cc2ccc(Cl)cc2C(F)(F)F)c2ccc(/C=C3\SC(=O)N(CC(=O)O)C3=O)cc12,1,7.552841969
CN(C)S(=O)(=O)NC(=O)CN1C(=O)S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C1=O,1,7.638272164
COc1cc(/C=C(\C#N)C(=O)Nc2nnc(C(F)(F)F)s2)ccc1OCc1ccc(C(F)(F)F)cc1C(F)(F)F,1,6.568636236
CCC1=NN2C/C(=C/c3ccc(OCCOc4c(C)cccc4C)c(OC)c3)C(=O)N=C2S1,0,5.853871964
N#Cc1c2c(nc3ccc(O)cc13)-c1ccc(O)cc1OC2,1,8.214670165
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,1,8
CCc1nnc(NC(=O)/C(C#N)=C/c2ccc(OCc3cc(F)ccc3C(F)(F)F)c(OC)c2)s1,0,5.769551079
CCc1cc(-c2ccc(O)cc2)nc2ccc(O)cc12,1,7.283996656
C=Cc1cc(-c2ccc(O)cc2)nc2ccc(O)cc12,1,7.22184875
Oc1ccc2c(c1)OCc1c-2nc2ccc(O)cc2c1Br,1,8.443697499
COc1cc(/C=C(\C#N)C(=O)Nc2nnc(C(C)(C)C)s2)ccc1OCCOc1c(C)cccc1C,0,5.769551079
CC(C)(C)OC(=O)N1CCN(c2ccc(C#CCCCC[C@@H]3Cc4cc(O)ccc4[C@H]4CC[C@]5(C)[C@@H](O)CC[C@H]5[C@H]34)cc2)CC1,1,7.301029996
CCOC(=O)CC(=O)c1ccc(C#CCCCC[C@@H]2Cc3cc(O)ccc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]23)cc1,1,7.015472687
